CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8
55,Terni,32,Terni,55032,550320000001,69,36,33,0,0,0,0,1,1,4,2,3,3,10,5,16,9,3,12,0,0,0,0,0,0,3,1,2,2,7,4,10,5,0,2,0,0,0,0,1,1,1,1,1,1,3,1,6,4,3,10,69,36,33,0,18,18,24,9,0,8,12,11,5,0,10,6,13,4,14,8,6,0,41,24,0,28,7,0,13,17,13,7,6,4,1,3,0,3,1,1,0,1,3,1,2,0,4,0,0,1,0,0,3,0,1,1,0,65,61,4,0,0,0,0
55,Terni,32,Terni,55032,550320000002,75,33,42,0,2,3,3,1,4,5,3,5,4,7,8,6,12,4,8,0,1,1,2,0,2,4,1,0,2,3,3,3,4,4,3,0,1,2,1,1,2,1,2,5,2,4,5,3,8,0,5,74,33,41,2,5,8,30,29,2,1,2,9,19,0,4,6,21,10,32,15,17,5,44,24,2,20,11,3,24,13,30,15,15,2,0,2,0,2,0,1,0,1,1,0,1,0,2,0,0,0,0,0,2,0,2,0,2,40,17,14,6,3,0,0
55,Terni,32,Terni,55032,550320000003,66,28,38,4,1,2,7,2,2,2,7,6,3,3,7,3,3,2,12,3,0,2,6,1,0,0,2,3,0,2,3,2,1,1,2,1,1,0,1,1,2,2,5,3,3,1,4,1,2,1,10,61,25,36,1,2,20,19,19,1,2,10,6,6,0,0,10,13,13,28,12,16,7,31,17,5,14,4,2,17,13,22,11,11,11,5,6,5,4,2,1,0,1,10,5,5,0,11,0,0,5,0,0,6,0,6,1,5,34,13,12,7,2,0,0
55,Terni,32,Terni,55032,550320000004,93,39,54,3,2,6,8,3,3,3,4,4,11,9,10,5,7,0,15,2,1,3,7,2,1,1,2,2,4,2,3,2,3,0,4,1,1,3,1,1,2,2,2,2,7,7,7,3,4,0,11,88,36,52,3,10,18,33,24,1,4,12,15,4,2,6,6,18,20,40,15,25,10,54,22,5,24,7,5,30,15,36,13,23,7,3,4,1,5,1,1,0,1,6,3,3,1,6,0,1,2,0,0,4,0,4,2,2,50,23,15,8,4,0,0
55,Terni,32,Terni,55032,550320000005,93,48,45,2,3,6,5,6,5,5,5,3,11,9,11,5,4,2,11,2,2,4,4,4,2,2,3,2,5,3,6,2,1,2,4,0,1,2,1,2,3,3,2,1,6,6,5,3,3,0,7,89,45,44,6,10,14,30,29,3,5,10,17,10,3,5,4,13,19,42,23,19,10,55,14,7,25,5,3,30,9,34,16,18,14,11,3,4,7,3,3,2,1,11,9,2,1,10,3,1,8,2,0,2,1,8,7,1,52,28,11,9,4,0,0
55,Terni,32,Terni,55032,550320000006,28,12,16,0,0,2,2,3,3,0,0,1,4,1,4,3,2,2,1,0,0,1,1,1,0,0,0,1,1,1,2,1,1,1,1,0,0,1,1,2,3,0,0,0,3,0,2,2,1,1,0,28,12,16,1,1,4,11,11,0,1,2,5,4,1,0,2,6,7,11,6,5,2,21,5,1,8,3,1,13,2,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,2,3,0,0
55,Terni,32,Terni,55032,550320000007,13,7,6,1,0,2,0,2,0,0,0,2,2,0,3,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,12,6,6,0,3,4,2,3,0,2,2,0,2,0,1,2,2,1,7,4,3,2,6,1,1,4,0,1,2,1,5,3,2,4,2,2,1,2,1,0,0,0,4,2,2,1,3,0,1,1,0,0,2,0,2,1,1,6,4,0,0,1,1,0
55,Terni,32,Terni,55032,550320000008,6,3,3,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,3,3,0,0,0,2,4,0,0,0,2,1,0,0,0,0,3,4,2,2,0,3,1,0,2,0,0,1,1,3,2,1,2,1,1,1,0,1,1,1,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,1,5,4,1,0,0,0,0
55,Terni,32,Terni,55032,550320000009,67,29,38,1,4,7,7,6,3,5,6,4,4,3,10,4,1,1,1,1,1,2,6,2,3,3,2,1,0,1,4,1,0,1,1,0,3,5,1,4,0,2,4,3,4,2,6,3,1,0,0,63,27,36,2,7,15,24,15,0,4,11,5,7,2,3,4,19,8,25,9,16,9,38,3,3,16,2,6,22,1,20,5,15,17,8,9,8,7,2,2,0,2,15,8,7,3,14,0,1,7,0,2,7,0,5,4,1,33,15,8,5,4,1,0
55,Terni,32,Terni,55032,550320000010,53,25,28,3,1,3,5,0,0,2,2,3,6,3,5,5,5,3,7,2,0,1,4,0,0,1,0,0,1,2,4,3,2,2,3,1,1,2,1,0,0,1,2,3,5,1,1,2,3,1,4,49,23,26,0,3,16,14,16,0,1,8,9,5,0,2,8,5,11,19,9,10,7,27,15,3,13,7,4,14,8,18,9,9,4,2,2,2,1,1,3,2,1,1,0,1,0,4,0,0,2,0,0,2,0,1,0,1,32,18,8,5,1,0,0
55,Terni,32,Terni,55032,550320000012,95,41,54,2,4,4,6,5,4,5,6,4,4,7,11,9,2,7,15,1,4,2,2,4,2,2,4,1,1,3,3,3,0,3,6,1,0,2,4,1,2,3,2,3,3,4,8,6,2,4,9,90,37,53,3,4,18,41,24,1,1,7,18,10,2,3,11,23,14,37,17,20,6,46,24,4,19,9,2,27,15,30,14,16,19,9,10,7,9,3,1,1,0,18,8,10,4,15,0,3,6,0,1,9,0,7,3,4,52,27,14,6,3,2,0
55,Terni,32,Terni,55032,550320000013,54,20,34,4,3,1,1,2,4,5,2,4,3,1,6,3,2,5,8,0,1,0,0,2,2,3,1,1,1,0,4,1,1,0,3,4,2,1,1,0,2,2,1,3,2,1,2,2,1,5,5,47,19,28,3,10,7,18,9,2,3,2,7,5,1,7,5,11,4,15,9,6,3,16,14,0,7,4,3,9,10,9,4,5,21,9,12,9,7,5,2,0,2,19,9,10,5,15,1,1,8,0,4,7,1,6,5,1,31,17,9,3,1,0,1
55,Terni,32,Terni,55032,550320000015,93,41,52,4,1,3,2,4,4,2,6,2,10,8,7,12,6,8,14,2,1,3,0,4,1,1,1,1,4,3,3,6,2,5,4,2,0,0,2,0,3,1,5,1,6,5,4,6,4,3,10,88,38,50,1,3,11,30,43,0,1,6,15,16,1,2,5,15,27,44,19,25,4,48,26,3,19,9,1,29,17,37,15,22,15,10,5,5,7,3,3,2,1,12,8,4,4,9,2,3,5,2,1,4,0,7,4,3,50,28,10,6,4,1,1
55,Terni,32,Terni,55032,550320000016,103,44,59,3,4,7,7,6,1,5,6,10,10,8,12,5,2,4,13,1,2,4,2,3,1,3,0,5,4,5,5,1,0,2,6,2,2,3,5,3,0,2,6,5,6,3,7,4,2,2,7,96,41,55,0,10,23,35,28,0,4,8,19,10,0,6,15,16,18,46,20,26,11,48,19,5,21,8,6,27,11,38,18,20,25,10,15,9,11,5,3,0,3,22,10,12,3,22,0,2,8,0,1,14,0,8,2,6,54,27,13,8,5,0,1
55,Terni,32,Terni,55032,550320000017,180,83,97,7,11,10,9,8,8,12,6,10,20,18,15,8,6,6,26,4,5,2,5,3,4,5,6,5,9,8,7,3,4,2,11,3,6,8,4,5,4,7,0,5,11,10,8,5,2,4,15,163,75,88,5,23,35,69,31,2,9,15,28,21,3,14,20,41,10,61,31,30,22,69,36,9,36,17,13,33,19,44,24,20,53,21,32,19,23,11,11,1,10,42,20,22,6,45,2,2,19,0,4,26,2,17,7,10,85,39,17,15,10,2,2
55,Terni,32,Terni,55032,550320000018,102,42,60,4,2,1,6,6,5,3,5,9,10,11,11,4,3,4,18,1,1,1,0,4,1,1,2,6,4,4,4,1,3,1,8,3,1,0,6,2,4,2,3,3,6,7,7,3,0,3,10,97,40,57,3,7,26,41,20,0,3,13,19,5,3,4,13,22,15,46,23,23,5,38,25,2,15,12,3,23,13,26,13,13,34,13,21,12,19,3,9,3,6,25,10,15,2,32,0,1,12,0,1,20,0,20,10,10,58,29,19,6,3,1,0
55,Terni,32,Terni,55032,550320000019,32,17,15,2,1,1,4,0,0,1,1,1,5,3,2,2,3,4,2,1,0,0,2,0,0,1,0,0,3,2,1,2,2,2,1,1,1,1,2,0,0,0,1,1,2,1,1,0,1,2,1,29,16,13,0,2,4,10,13,0,1,1,7,7,0,1,3,3,6,15,9,6,4,19,9,1,11,5,3,8,4,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,5,2,0,0
55,Terni,32,Terni,55032,550320000020,20,7,13,1,2,0,0,0,2,1,1,3,2,0,2,1,1,1,3,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,1,0,0,0,2,1,0,1,1,0,1,1,1,1,2,17,6,11,0,2,3,8,4,0,1,1,2,2,0,1,2,6,2,8,4,4,2,11,5,1,5,1,1,6,4,8,4,4,2,0,2,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0,10,4,3,2,1,0,0
55,Terni,32,Terni,55032,550320000021,50,23,27,4,0,2,2,3,1,3,4,1,4,5,8,2,0,2,9,4,0,1,0,2,1,1,4,0,1,3,3,1,0,1,1,0,0,1,2,1,0,2,0,1,3,2,5,1,0,1,8,46,19,27,1,2,8,25,10,0,0,2,13,4,1,2,6,12,6,23,13,10,5,27,11,4,13,2,1,14,9,20,11,9,7,4,3,1,4,2,0,0,0,7,4,3,1,6,0,1,3,0,0,3,0,3,2,1,26,13,7,2,3,1,0
55,Terni,32,Terni,55032,550320000022,123,57,66,6,4,2,5,10,5,7,8,10,8,8,8,14,6,4,18,3,2,1,4,5,4,4,4,4,5,3,2,7,2,1,6,3,2,1,1,5,1,3,4,6,3,5,6,7,4,3,12,113,52,61,0,11,27,40,35,0,4,16,14,18,0,7,11,26,17,49,28,21,9,59,24,4,29,9,5,30,15,36,21,15,31,15,16,11,9,11,4,2,2,27,13,14,3,24,4,2,13,0,1,11,4,13,7,6,62,34,10,9,7,1,1
55,Terni,32,Terni,55032,550320000023,176,85,91,14,9,3,9,6,19,13,10,8,7,15,15,11,3,9,25,8,3,1,6,3,6,11,7,4,5,5,7,5,1,4,9,6,6,2,3,3,13,2,3,4,2,10,8,6,2,5,16,154,75,79,1,11,35,61,46,1,4,20,25,25,0,7,15,36,21,74,41,33,14,75,36,6,40,14,8,35,22,49,28,21,51,25,26,25,18,8,9,1,8,42,24,18,12,38,1,6,19,0,6,19,1,25,13,12,83,37,22,10,9,2,3
55,Terni,32,Terni,55032,550320000024,47,20,27,2,4,3,0,2,0,3,0,6,4,4,1,2,0,1,15,2,1,1,0,0,0,1,0,5,2,1,1,1,0,0,5,0,3,2,0,2,0,2,0,1,2,3,0,1,0,1,10,42,17,25,1,5,5,10,21,0,1,2,5,9,1,4,3,5,12,18,11,7,6,19,16,3,10,5,3,9,11,16,10,6,6,2,4,3,3,0,1,0,1,5,2,3,3,3,0,1,1,0,2,2,0,2,1,1,24,11,6,5,1,1,0
