station_code,station_eu_code,date,t2m,tmin2m,tmax2m,tp,ptp,rh,u10m,v10m,wspeed,wspeed_max,pwspeed,wdir,sp,nirradiance,pbl00,pbl12,pblmin,pblmax,coordx,coordy,altitude,altitudedem
1005502,IT1011A,2016-11-25,11.1,7.9,14.2,15.8,0.9,94.5,-0.8,0.5,0.9433981132056604,0.854988897214251,1.019803902718557,122.00538320808352,949.8,28.5,0.03,0.53,0.01,0.58,799705,4718418,128,129
1005502,IT1011A,2017-11-01,10.1,5,15.7,0,0.3,71.6,-0.4,-0.1,0.4123105625617661,1.14616115172426,0.6708203932499369,75.96375653207352,958.2,118.4,0.03,0.79,0.01,1.08,799705,4718418,128,129
1005502,IT1011A,2017-01-14,-2.1,-7.6,4,0,34.7,80.7,-0.8,-0.1,0.806225774829855,2.387817688204,2.23606797749979,82.8749836510982,943.4,89.5,0.03,0.7,0.01,0.86,799705,4718418,128,129
1005502,IT1011A,2017-06-15,24.6,18.2,30.7,0,0,52.3,0.7,0.6,0.9219544457292886,2.30876526465149,0.848528137423857,229.3987053549955,952.2,255.3,0.02,1.9,0.01,1.96,799705,4718418,128,129
1005502,IT1011A,2017-04-26,13,6.6,18.8,0.2,0,64.6,-0.3,2.8,2.8160255680657444,2.00476250546158,1.60312195418814,173.8844964337146,948,222,0.08,1.25,0.08,1.48,799705,4718418,128,129
1005502,IT1011A,2017-05-18,17.4,9.4,23.7,0,0,63.9,-0,0.4,0.4,1.40271090089592,1.7492855684535902,180,952.7,241.5,0.03,2.12,0.02,2.34,799705,4718418,128,129
1005502,IT1011A,2017-03-08,6.5,2.6,10.8,0.3,15.5,65.9,-0.9,-3.2,3.3241540277189325,6.50907379488957,2.1023796041628637,15.708637829015744,949.4,165.3,1.06,1.48,0.09,1.48,799705,4718418,128,129
1005502,IT1011A,2017-03-12,6.4,-0.6,13.4,0,0,66.8,-0.1,-0.2,0.223606797749979,1.74608468174375,2.4515301344262523,26.565051177077976,949.8,180.1,0.05,1,0.02,1.26,799705,4718418,128,129
1005502,IT1011A,2017-10-05,15.9,11.6,21.4,0,0,73.2,-0.2,1.2,1.2165525060596438,3.29009300484641,0.3,170.53767779197435,955.4,163.7,0.01,1.15,0.01,1.19,799705,4718418,128,129
1005502,IT1011A,2017-10-11,14.3,8.1,20.5,0,0,72,-0.3,-0.2,0.36055512754639896,1.72402853418255,0.223606797749979,56.30993247402023,958.1,153.3,0.02,1.1,0.02,1.48,799705,4718418,128,129
1005502,IT1011A,2018-02-12,3,-1.2,7.6,7.4,0,87.2,-0.8,1.2,1.4422205101855958,2.36910341914611,1.503329637837291,146.3099324740202,943.5,49.4,0.01,0.5,0.01,0.56,799705,4718418,128,129
1005502,IT1011A,2016-12-07,5.8,2.1,12.1,0,0,88.7,-0.9,-0.9,1.2727922061357857,1.54059120069883,0.8602325267042626,45,964.5,74.3,0.04,0.53,0.04,0.67,799705,4718418,128,129
1005502,IT1011A,2017-03-23,11.6,8.2,16.1,0.3,0.5,83.2,0,1.2,1.2,4.03970980833615,1.40356688476182,180,953.2,148.6,0.05,1.01,0.02,1.09,799705,4718418,128,129
1005502,IT1011A,2017-04-08,12.9,4.7,19.3,0.1,0.1,63.5,-0.3,-0.6,0.6708203932499369,2.24797215379864,0.7071067811865475,26.565051177077976,956.3,220.3,0.02,1.81,0.01,2.08,799705,4718418,128,129
1005502,IT1011A,2017-07-16,20.9,16.6,25,0,0,45.6,-1.1,-2.4,2.640075756488817,5.33918379010033,1.6763054614240211,24.623564786163627,953.2,274.2,0.37,2.23,0.07,2.34,799705,4718418,128,129
1005502,IT1011A,2017-01-05,0.5,-2.4,3.1,3.4,0,81.6,-0.4,-2.4,2.4331050121192876,5.75322262742083,0.5099019513592785,9.462322208025626,944.1,65.6,0.02,1.24,0.02,1.36,799705,4718418,128,129
1005502,IT1011A,2017-09-02,19.4,14.9,23.6,1.8,5.6,67.2,0.3,2.5,2.5179356624028344,4.41223144746521,1.7,186.84277341263095,947.6,176,0.22,1.26,0.22,2.1,799705,4718418,128,129
