PRO_COM,SEZ,P1,SHAPE_Area
55032,400,125,6030.74573358
55032,130,47,3005.01705026
55032,169,38,1837.57146792
55032,226,24,7908.2247613
55032,756,176,150133.725303
55032,708,405,547676.048235
55032,433,767,65869.6624838
55032,621,354,68646.6891115
55032,257,216,11980.9706773
55032,137,157,9363.12873101
55032,133,24,5561.17477406
55032,23,176,8190.20705052
55032,30,58,4110.67055304
55032,392,35,4258.51387538
55032,375,18,125280.13444
55032,602,464,202718.364366
55032,652,391,52238.6240203
55032,635,21,7350.48739865
55032,555,25,22907.092571
55032,657,477,65903.228769
55032,515,817,254659.265178
55032,121,79,10555.3618618
55032,183,158,7372.09370313
55032,65,552,32678.5300258
55032,710,28,11390.8109056
55032,68,328,39324.7476318
55032,717,199,93704.7965343
55032,115,22,2165.00646834
55032,355,26,4007.11142629
55032,111,27,1582.76179837
55032,443,15,29024.3628132
55032,519,220,23287.9761548
55032,547,16,24005.8241117
55032,386,472,271562.819442
55032,366,34,5346.53246002
55032,69,434,37421.0724082
55032,432,189,19437.7897695
55032,522,330,153007.637077
55032,523,243,41223.4135844
55032,160,72,27891.2624591
55032,493,8,5377.20543944
55032,236,48,8721.88445698
55032,221,217,14806.6910892
55032,101,138,12599.0676361
55032,661,126,27515.1668576
55032,206,139,6420.27604401
55032,38,29,1602.22581566
55032,345,12,2205.79272858
55032,322,428,18684.4268245
55032,187,107,5947.30067141
55032,3,66,3633.10466371
55032,161,191,6838.36952228
55032,343,38,2252.07655921
55032,363,149,5110.78624091
55032,318,110,5619.97952365
55032,100,27,5137.65993447
55032,237,64,10916.8110062
55032,643,175,13462.8714472
55032,415,45,4939.41468189
55032,210,96,6873.53996381
55032,136,93,7893.85516346
55032,233,104,9572.19270476
55032,580,430,335298.694254
55032,46,106,4406.00598893
55032,106,74,1791.53719479
55032,500,47,84145.9563507
55032,407,26,9690.34231615
55032,56,159,5688.90229072
55032,620,74,22294.9538028
55032,393,54,11671.6463925
55032,702,98,32961.4534214
55032,679,100,206041.165826
55032,227,242,16742.7898584
55032,532,76,12439.2728463
55032,76,129,13916.1097666
55032,762,382,149047.602608
55032,74,186,28397.2257556
55032,329,751,44722.951679
55032,638,52,21270.7796858
55032,570,228,140999.813416
55032,785,130,182540.876262
55032,67,72,4998.98679177
55032,517,269,62990.9327461
55032,476,45,34004.16769200001
55032,704,121,72911.309409
55032,753,390,85726.969155
55032,344,19,2508.12162437
55032,497,201,47616.3027689
55032,356,38,5328.9462067
55032,471,288,93878.2746961
55032,527,433,46269.2084464
55032,568,192,88024.6319969
55032,113,60,2338.5022021
55032,96,104,3072.85748917
55032,18,102,3834.81765392
55032,79,106,3723.82860455
55032,43,70,2529.24116283
55032,12,95,6363.33723576
55032,19,32,1962.74430221
55032,99,67,2670.79477415
55032,217,139,5942.23684151
55032,426,153,14961.3639788
55032,129,30,2333.70136473
55032,53,71,3694.00659943
55032,216,149,7793.63424478
55032,654,631,97127.4533684
55032,439,526,94796.7476045
55032,487,25,20902.4217361
55032,312,104,13637.0120036
55032,274,122,74637.0605576
55032,293,48,4054.11906613
55032,617,988,288464.729134
55032,191,113,3828.51084255
55032,28,78,4793.6532509
55032,330,77,7774.95628708
55032,63,106,10895.6726068
55032,463,516,58609.1166598
55032,461,268,72911.722211
55032,2,75,4112.84436843
55032,479,110,17006.0033583
55032,37,40,1882.82851289
55032,204,207,10131.0336855
55032,214,117,6698.70138121
55032,481,193,18283.601215399998
55032,220,108,11722.2679808
55032,195,64,5749.6360818
55032,36,83,5467.66261042
55032,199,164,10415.8185233
55032,231,122,16379.5050761
55032,140,34,2410.52040839
55032,88,124,4412.82474006
55032,149,19,1319.50824432
55032,35,86,2024.96609888
55032,47,114,3522.6513783
55032,156,79,4846.55254721
55032,298,118,3724.40679392
55032,625,521,84313.5932103
55032,321,126,9740.47814984
55032,726,42,8023.12906547
55032,163,183,9912.55574424
55032,582,332,63899.192419
