ID,media,site
1,0.22265062873300753,RI
2,0.4935836084187031,MA
3,0.2783109957263583,FA
4,0.1034044036641717,GI
5,0.381773674174359,FR
6,0.09313218109309673,CB
7,0.4145976281479785,PI
8,0.13337618431874684,BR
9,0.05932849143343782,AR
10,0.05705208550697487,CR
11,0.4231806766241789,HG
12,0.4281429031656848,SA
13,0.2664872858869402,PV
14,0.5424213366849082,LG
15,0.11123774693298497,CZ
16,0.04801106992128648,HV
17,0.09464501610232724,UC
18,0.38606514154296173,CA
19,0.09492594189941883,CO
20,0.36635385347264154,RO
21,0.2125872940217194,OB
22,0.3811210042663983,PR
23,0.5996070433230627,CP
