ID,m,v1$Site
1,6.903030303030303,RI
2,6.621621621621622,MA
3,6.185263157894737,FA
4,7.4485981308411215,GI
5,5.286885245901639,FR
6,8.434389140271493,CB
7,14.30188679245283,PI
8,7.650872817955112,BR
9,7.216101694915254,AR
10,6.338095238095238,CR
11,6.517587939698492,HG
12,9.876106194690266,SA
13,11.613157894736842,PV
14,6.125,LG
15,10.175,CZ
16,9.640449438202246,HV
17,6.947637292464878,UC
18,8.889952153110048,CA
19,12.33201581027668,CO
20,9.296346414073072,RO
21,6.2027972027972025,OB
22,4.623287671232877,PR
23,5.326666666666667,CP
