ID,m,Site
1,60,RI
2,11.72316384180791,MA
3,88.02272727272727,FA
4,76.71910112359551,GI
5,18.73446327683616,FR
6,79.75287356321839,CB
7,43.40571428571429,PI
8,63.09142857142857,BR
9,79.91279069767442,AR
10,95.99435028248588,CR
11,42.51412429378531,HG
12,41.05681818181818,SA
13,57.666666666666664,PV
14,2.903954802259887,LG
15,78.36627906976744,CZ
16,81.54857142857144,HV
17,97.6685393258427,UC
18,50.13559322033898,CA
19,76.05113636363636,CO
20,49.63068181818182,RO
21,56.565714285714286,OB
22,27.852272727272727,PR
23,8.322033898305085,CP
