25_area,50_area,75_area,100_area,200_area,site,var
NA,NA,NA,NA,3137.66706259744,AR,11240
NA,NA,NA,NA,NA,BR,11240
NA,NA,NA,NA,NA,CA,11240
NA,NA,NA,NA,598.862361881002,CB,11240
NA,NA,NA,NA,NA,CO,11240
NA,NA,0.373287942784373,782.96229462605,11589.6136608828,CP,11240
NA,NA,NA,NA,NA,CR,11240
NA,NA,NA,NA,NA,CZ,11240
NA,NA,NA,NA,NA,FA,11240
NA,NA,NA,NA,1537.9961048048,FR,11240
NA,NA,NA,NA,NA,GI,11240
NA,NA,NA,NA,10843.4127374142,HG,11240
NA,NA,NA,NA,NA,HV,11240
338.235517089372,2175.00940270163,5220.54650897754,7321.38397822762,13005.905445734,LG,11240
NA,NA,NA,NA,NA,MA,11240
NA,NA,NA,NA,NA,OB,11240
NA,NA,NA,28.3737538059941,7376.95266236103,PI,11240
NA,NA,NA,NA,NA,PR,11240
NA,NA,NA,NA,NA,PV,11240
NA,NA,NA,NA,1719.42564539053,RI,11240
NA,NA,NA,NA,NA,RO,11240
NA,NA,NA,NA,NA,SA,11240
NA,NA,NA,NA,NA,UC,11240
